,folder,report,RTN,address,date_sampled,sample_id,lab,page,Matrix,DF,Acronym,Compound,CAS,Result,RL,MCL,MDL,Units,Result_val,limit
2301,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,0.374,1.87,,0.243,ng/l,0.374,0.243
2302,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.87,,0.449,ng/l,,0.449
2303,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.87,,0.067,ng/l,,0.067
2304,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.87,,0.584,ng/l,,0.584
2305,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.87,,0.445,ng/l,,0.445
2306,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.87,,0.46,ng/l,,0.46
2307,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.87,,0.602,ng/l,,0.602
2308,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.87,,0.257,ng/l,,0.257
2309,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.87,,0.561,ng/l,,0.561
2310,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.87,,0.4,ng/l,,0.4
2311,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.87,,0.524,ng/l,,0.524
2312,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.87,,0.606,ng/l,,0.606
2313,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.87,,0.196,ng/l,,0.196
2314,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.87,,0.475,ng/l,,0.475
2315,2-0021045 - Stow - MA Fire Academy/,L2109461 - 305 Chestnut Street.pdf,2-0021045,,02/25/21 13:05,FB 305 CHEST,Alpha,10,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.87,,0.40399999999999997,ng/l,,0.40399999999999997
2316,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.82,,0.259,ng/l,,0.259
2317,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,19.6,1.82,,0.24,ng/l,19.6,0.24
2318,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.82,,0.41200000000000003,ng/l,,0.41200000000000003
2319,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,22.6,1.82,,0.237,ng/l,22.6,0.237
2320,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.82,,0.43799999999999994,ng/l,,0.43799999999999994
2321,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.82,,0.065,ng/l,,0.065
2322,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,44.7,1.82,,0.569,ng/l,44.7,0.569
2323,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,2.70,1.82,,0.434,ng/l,2.7,0.434
2324,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,7.04,1.82,,0.449,ng/l,7.04,0.449
2325,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.82,,0.588,ng/l,,0.588
2326,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.82,,0.251,ng/l,,0.251
2327,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,0.547,1.82,,0.547,ng/l,0.547,0.547
2328,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.82,,0.39,ng/l,,0.39
2329,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.82,,0.511,ng/l,,0.511
2330,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.82,,0.591,ng/l,,0.591
2331,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.82,,0.192,ng/l,,0.192
2332,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.82,,0.46299999999999997,ng/l,,0.46299999999999997
2333,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,7,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.82,,0.39399999999999996,ng/l,,0.39399999999999996
2334,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.82,,0.258,ng/l,,0.258
2335,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,22.0,1.82,,0.239,ng/l,22.0,0.239
2336,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.82,,0.41,ng/l,,0.41
2337,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,26.7,1.82,,0.23600000000000002,ng/l,26.7,0.23600000000000002
2338,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,0.981,1.82,,0.436,ng/l,0.981,0.436
2339,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.82,,0.065,ng/l,,0.065
2340,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,52.3,1.82,,0.5670000000000001,ng/l,52.3,0.5670000000000001
2341,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,3.27,1.82,,0.43200000000000005,ng/l,3.27,0.43200000000000005
2342,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,65.6,1.82,,0.447,ng/l,65.6,0.447
2343,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.82,,0.585,ng/l,,0.585
2344,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.82,,0.25,ng/l,,0.25
2345,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.82,,0.545,ng/l,,0.545
2346,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.82,,0.389,ng/l,,0.389
2347,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.82,,0.509,ng/l,,0.509
2348,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.82,,0.588,ng/l,,0.588
2349,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.82,,0.191,ng/l,,0.191
2350,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.82,,0.461,ng/l,,0.461
2351,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:30,264 CHEST,Alpha,8,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.82,,0.392,ng/l,,0.392
2352,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.79,,0.254,ng/l,,0.254
2353,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.79,,0.23600000000000002,ng/l,,0.23600000000000002
2354,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.79,,0.405,ng/l,,0.405
2355,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.79,,0.233,ng/l,,0.233
2356,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.79,,0.43,ng/l,,0.43
2357,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.79,,0.064,ng/l,,0.064
2358,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.79,,0.5589999999999999,ng/l,,0.5589999999999999
2359,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.79,,0.426,ng/l,,0.426
2360,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,2.90,1.79,,0.441,ng/l,2.9,0.441
2361,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.79,,0.5770000000000001,ng/l,,0.5770000000000001
2362,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.79,,0.24600000000000002,ng/l,,0.24600000000000002
2363,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.79,,0.5379999999999999,ng/l,,0.5379999999999999
2364,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.79,,0.38299999999999995,ng/l,,0.38299999999999995
2365,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.79,,0.502,ng/l,,0.502
2366,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.79,,0.581,ng/l,,0.581
2367,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.79,,0.188,ng/l,,0.188
2368,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.79,,0.455,ng/l,,0.455
2369,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,9,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.79,,0.387,ng/l,,0.387
2370,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.83,,0.26,ng/l,,0.26
2371,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,0.257,1.83,,0.24100000000000002,ng/l,0.257,0.24100000000000002
2372,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.83,,0.414,ng/l,,0.414
2373,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.83,,0.23800000000000002,ng/l,,0.23800000000000002
2374,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.83,,0.44,ng/l,,0.44
2375,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.83,,0.066,ng/l,,0.066
2376,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.83,,0.5720000000000001,ng/l,,0.5720000000000001
2377,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.83,,0.436,ng/l,,0.436
2378,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.83,,0.451,ng/l,,0.451
2379,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.83,,0.59,ng/l,,0.59
2380,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.83,,0.252,ng/l,,0.252
2381,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.83,,0.55,ng/l,,0.55
2382,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.83,,0.392,ng/l,,0.392
2383,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.83,,0.513,ng/l,,0.513
2384,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.83,,0.594,ng/l,,0.594
2385,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.83,,0.192,ng/l,,0.192
2386,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.83,,0.466,ng/l,,0.466
2387,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:25,264 CHEST MID,Alpha,10,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.83,,0.396,ng/l,,0.396
2388,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.78,,0.252,ng/l,,0.252
2389,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.78,,0.23399999999999999,ng/l,,0.23399999999999999
2390,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.78,,0.402,ng/l,,0.402
2391,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.78,,0.231,ng/l,,0.231
2392,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,0.711,1.78,,0.426,ng/l,0.711,0.426
2393,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.78,,0.064,ng/l,,0.064
2394,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.78,,0.5539999999999999,ng/l,,0.5539999999999999
2395,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.78,,0.423,ng/l,,0.423
2396,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,155,1.78,,0.43700000000000006,ng/l,155.0,0.43700000000000006
2397,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.78,,0.5720000000000001,ng/l,,0.5720000000000001
2398,2-0021045 - Stow - MA Fire Academy/,L2112364 - 264 Chestnut Street.pdf,2-0021045,,03/12/21 09:20,264 CHEST EFF,Alpha,11,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,0.960,1.78,,0.244,ng/l,0.96,0.244
