,folder,report,RTN,address,date_sampled,sample_id,lab,page,Matrix,DF,Acronym,Compound,CAS,Result,RL,MCL,MDL,Units,Result_val,limit
63,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.2,,,ug/kg,,1.2
64,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.2,,,ug/kg,,1.2
65,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.2,,,ug/kg,,1.2
66,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.2,,,ug/kg,,1.2
67,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.2,,,ug/kg,,1.2
68,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.2,,,ug/kg,,1.2
69,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.2,,,ug/kg,,1.2
70,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.2,,,ug/kg,,1.2
71,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.2,,,ug/kg,,1.2
72,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.2,,,ug/kg,,1.2
73,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.2,,,ug/kg,,1.2
74,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.2,,,ug/kg,,1.2
75,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.2,,,ug/kg,,1.2
76,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,2.9,,,ug/kg,,2.9
77,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  17-28,SGS,15,SO - Soil,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,2.9,,,ug/kg,,2.9
