Facility,Sample Collection Date,Sample Field ID,Sample Laboratory ID #,Lab Name ,Sample    % Solids,Sample PFAS Conc. Units    (ng/g dry wt),PFBS    ,MRL, MDL,Qualifiers,PFBA,MRL,MDL,Qualifiers,PFDS,MRL,MDL,Qualifiers,PFDA,MRL,MDL,Qualifiers,PFDoA,MRL,MDL,Qualifiers,PFHpA,MRL,MDL,Qualifiers,PFHxS,MRL,MDL,Qualifiers,PFHxA,MRL,MDL,Qualifiers,PFNA,MRL,MDL,Qualifiers,PFTrDA,MRL,MDL,Qualifiers,PFOSA,MRL,MDL,Qualifiers,PFOA,MRL,MDL,Qualifiers,PFOS,MRL,MDL,Qualifiers,PFPeA,MRL,MDL,Qualifiers,PFTeDA,MRL,MDL,Qualifiers,PFUnA,MRL,MDL,Qualifiers,4:2FTS,MRL,MDL,Qualifiers,PFPeS,MRL,MDL,Qualifiers,6:2FTS,MRL,MDL,Qualifiers,8:2FTS,MRL,MDL,Qualifiers,PFNS,MRL,MDL,Qualifiers,NMeFOSAA,MRL,MDL,Qualifiers,NEtFOSAA,MRL,MDL,Qualifiers,PFTA,MRL,MDL,Qualifiers,PFHpS,MRL,MDL,Qualifiers,,,,,,,,,,,,,,,,,
Nashua WWTF,2/26/2021,Duplicate,,"Eurofins TestAmerica, Sacramento",31%,,ND,6.20,0.77,,ND,6.20,0.87,,ND,6.20,1.20,,<MRL,6.20,0.68,J,ND,6.20,2.10,,ND,6.20,0.90,,ND,6.2,0.96,,<MRL,6.2,1.3,J,ND,6.2,1.1,,Not Reported,,,,Not Reported,,,,ND,6.2,2.7,,<MRL,15,6.2,J B,ND,6.2,2.4,,Not Reported,,,,<MRL,6.2,1.1,J,Not Reported,,,,ND,6.2,0.62,,Not Reported,,,,Not Reported,,,,NS,6.2,0.62,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
City of Newburyport WTP,5/5/2021,A52308,L2123630-01,AAL,31.5,ng/g,ND,0.385,,,ND,0.77,,,ND,0.77,,,ND,0.385,,,ND,0.77,,,ND,0.385,,,ND,0.385,,,ND,0.77,,,ND,0.385,,,ND,0.77,,,Not Reported,,,,ND,0.385,,,0.644,0.385,,,ND,0.77,,,,,,,ND,0.77,,,Not Reported,,,,ND,1.54,,,Not Reported,,,,Not Reported,,,,ND,1.54,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
City of Newburyport WTP,5/5/2021,A52309,L2123630-02,AAL,32.8,ng/g,ND,0.361,,,ND,0.722,,,ND,0.722,,,ND,0.361,,,ND,0.722,,,ND,0.361,,,ND,0.361,,,ND,0.722,,,ND,0.361,,,ND,0.722,,,Not Reported,,,,ND,0.361,,,0.762,0.361,,,ND,0.722,,,,,,,ND,0.722,,,Not Reported,,,,ND,1.44,,,Not Reported,,,,Not Reported,,,,ND,1.44,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Newburyport,11/3/2020,,,Alpha Analytical,88%,,<MRL,0.54,,,<MRL,0.54,,,<MRL,0.54,,,<MRL,0.14,,,<MRL,0.54,,,<MRL,0.14,,,<MRL,0.135,,,<MRL,0.538,,,<MRL,0.135,,,<MRL,0.538,,,Not Reported,,,,<MRL,0.135,,,0.174,,,,<MRL,0.538,,,Not Reported,,,,<MRL,0.538,,,Not Reported,,,,<MRL,0.538,,,Not Reported,,,,Not Reported,,,,<MRL,0.538,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Newburyport,8/4/2021,A54268,L2142135-01,AAL,24.4,ng/g,ND,0.505,,,ND,1.01,,,ND,1.01,,,ND,0.505,,,ND,1.01,,,ND,0.505,,,ND,0.505,,,ND,1.01,,,ND,0.505,,,ND,1.01,,,Not Reported,,,,ND,0.505,,,0.866,0.505,,,ND,1.01,,,,,,,ND,1.01,,,Not Reported,,,,ND,2.02,,,Not Reported,,,,Not Reported,,,,ND,2.02,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Newburyport,8/4/2021,A54269,L2142135-02,AAL,19,ng/g,ND,0.635,,,ND,1.27,,,ND,1.27,,,ND,0.635,,,ND,1.27,,,ND,0.635,,,ND,0.635,,,ND,1.27,,,ND,0.635,,,ND,1.27,,,Not Reported,,,,ND,0.635,,,1.1,0.635,,,ND,1.27,,,,,,,ND,1.27,,,Not Reported,,,,ND,2.54,,,Not Reported,,,,Not Reported,,,,ND,2.54,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
North Chelmsford Water District,11/9/2020,,,Eurofins,92%,,<MRL,0.21,,,<MRL,0.21,,J B,<MRL,0.21,,,<MRL,0.21,,,<MRL,0.21,,,<MRL,0.21,,,<MRL,0.21,,,<MRL,0.21,,,<MRL,0.21,,,<MRL,0.21,,,Not Reported,,,,<MRL,0.21,,,<MRL,0.53,,,<MRL,0.21,,,Not Reported,,,,<MRL,0.21,,,Not Reported,,,,<MRL,0.21,,,Not Reported,,,,Not Reported,,,,<MRL,0.21,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
North Chelmsford Water District,3/10/2021,Primary,,"Eurofins testAmerica, Sacramento",89%,,ND,2.20,0.27,,ND,2.20,0.30,,ND,2.20,0.42,,ND,2.20,0.24,,ND,2.20,0.73,,ND,2.20,0.31,,ND,2.2,0.34,,ND,2.2,0.45,,ND,2.2,0.39,,Not Reported,,,,Not Reported,,,,ND,2.2,0.93,,ND,5.4,2.2,,ND,2.2,0.83,,Not Reported,,,,ND,2.2,0.39,,Not Reported,,,,ND,2.2,0.22,,Not Reported,,,,Not Reported,,,,ND,2.2,0.22,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
North Chelmsford Water District,3/10/2021,Duplicate,,"Eurofins TestAmerica, Sacramento",76%,,ND,2.60,0.33,,ND,2.60,0.37,,ND,2.60,0.51,,ND,2.60,0.29,,ND,2.60,0.88,,ND,2.60,0.38,,ND,2.6,0.41,,ND,2.6,0.55,,ND,2.6,0.47,,Not Reported,,,,Not Reported,,,,ND,2.6,1.1,,ND,6.6,2.6,,ND,2.6,1,,Not Reported,,,,ND,2.6,0.47,,Not Reported,,,,ND,2.6,0.26,,Not Reported,,,,Not Reported,,,,ND,2.6,0.26,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ocean Spray Middleborough ,10/30/2020,,,EST Associates Inc. ,,,ND,0.75,,,ND,0.75,,,ND,,,,ND,,,,ND,,,,0.23,,,J,ND,0.75,,,7.60,,,,0.83,,,,ND,,,,Not Tested,,,,3.60,,,,10.00,,,,0.53,,,J,Not Tested,,,,ND,,,,Not Tested,,,,ND,,,,Not Tested,,,,Not Tested,,,,ND,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ocean Spray Middleborough,3/12/2021,Primary,,Alpha Analytical,0.00,,ND,2.10,,,ND,4.21,,,ND,4.21,,,ND,2.10,,,ND,4.21,,,ND,2.10,,,ND,2.10,,,ND,4.21,,,ND,2.10,,,ND,4.21,,,Not Reported,,,,ND,2.10,,,ND,2.10,,,ND,4.21,,,Not Reported,,,,ND,4.21,,,Not Reported,,,,ND,8.42,,,Not Reported,,,,Not Reported,,,,ND,8.42,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ocean Spray Middleborough,3/12/2021,Duplicate,,Alpha Analytical,1.00,,ND,1.38,,,ND,2.75,,,ND,2.75,,,ND,1.38,,,ND,2.75,,,ND,1.38,,,ND,1.38,,,ND,2.75,,,ND,1.38,,,ND,2.75,,,Not Reported,,,,ND,1.38,,,ND,1.38,,,ND,2.75,,,Not Reported,,,,ND,2.75,,,Not Reported,,,,ND,5.50,,,Not Reported,,,,Not Reported,,,,ND,5.50,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ocean Spray Middleborough,3/26/2021,,,Alpha Analytical,0.00,,ND,0.75,,,ND,0.75,,,ND,,,,ND,,,,ND,,,,ND,0.23,,,ND,0.75,,,ND,7.60,,,ND,0.83,,,ND,,,,Not Tested,,,,ND,3.60,,,ND,10.00,,,ND,0.53,,,,,,,ND,,,,Not Tested,,,,ND,,,,Not Tested,,,,Not Tested,,,,ND,,,,Not Tested,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Ocean Spray Receiving Station, Carver, MA",10/30/2020,,,Alpha Analytical,1%,uk/kg,<MRL,24.80,,,<MRL,24.80,,,<MRL,24.80,,,<MRL,6.19,,,<MRL,24.80,,,<MRL,6.19,,,<MRL,6.19,,,<MRL,24.8,,,<MRL,6.19,,,<MRL,24.8,,,Not Reported,,,,<MRL,6.19,,,<MRL,6.19,,,<MRL,24.8,,,Not Reported,,,,<MRL,24.8,,,Not Reported,,,,<MRL,24.8,,,Not Reported,,,,Not Reported,,,,<MRL,24.8,,,Not Tested,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Resource Management Inc,11/16/2020,Primary,,Eurofins,21%,,ND,9.00,1.10,,ND,9.00,1.30,,ND,9.000,1.70,,<MRL,9.00,0.99,J,ND,9.000,3.00,F1 F2,ND,9.00,1.30,,ND,9.000,1.40,,<MRL,9.00,1.90,J,ND,9.00,1.60,,Not Reported,,,,Not Reported,,,,ND,9.00,3.90,,ND,22.00,9.00,,ND,9.00,3.50,,Not Reported,,,,<MRL,9.000,1.60,J I,Not Reported,,,,ND,9.000,0.90,,Not Reported,,,,Not Reported,,,,ND,9.000,0.9,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Resource Management Inc,11/16/2020,Duplicate,,Eurofins,21%,,ND,9.10,1.10,,ND,9.10,1.30,,ND,9.100,1.80,,<MRL,9.10,1.00,J,ND,9.100,3.00,,ND,9.10,1.30,,ND,9.100,1.40,,<MRL,9.10,1.90,J,ND,9.10,1.60,,Not Reported,,,,Not Reported,,,,ND,9.10,3.90,,ND,23.00,9.10,,ND,9.10,3.50,,Not Reported,,,,<MRL,9.100,1.60,J,Not Reported,,,,ND,9.100,0.91,,Not Reported,,,,Not Reported,,,,ND,9.100,0.91,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Resource Management Inc RMF,10/6/2020,Primary,,Eurofins,35%,,<MRL,2.20,0.27,J,<MRL,2.20,0.31,J B,ND,2.200,0.43,,3.70,2.20,0.24,,<MRL,2.200,0.73,J,<MRL,2.20,0.32,J,ND,2.200,0.34,,5.40,2.20,0.46,,<MRL,2.20,0.39,J,Not Reported,,,,Not Reported,,,,2.80,2.20,0.94,,21.00,5.50,2.20,I,<MRL,2.20,0.84,J,Not Reported,,,,<MRL,2.200,0.39,J,Not Tested,,,,ND,2.200,0.22,,Not Reported,,,,Not Reported,,,,ND,2.200,0.022,,Not Tested,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Resource Management Inc RMF,10/6/2020,Duplicate,,Eurofins,34%,,<MRL,2.50,0.31,J,2.50,2.50,0.35,B,<MRL,2.500,0.49,J,5.40,2.50,0.28,,<MRL,2.500,0.84,J,<MRL,2.50,0.36,J,ND,2.500,0.39,,6.10,2.50,0.53,,<MRL,2.50,0.45,J,Not reported,,,,Not Reported,,,,3.90,2.50,1.10,,24.00,6.30,2.50,I,<MRL,2.50,0.97,J,Not Reported,,,,<MRL,2.500,0.45,J,Not Reported,,,,ND,2.500,0.25,,Not Reported,,,,Not Reported,,,,ND,2.500,0.25,,Not Tested,,,,Not Reported,,,,Not Reported,,,,Not reported,,,,,,,,,,,,,,,,,,,,
Resource Management Inc RMF,6/30/2021,CPM,320-76240-1,"Eurofins TestAmerica, Sacramento",33%,,ND,0.58,0.072,H,ND,0.58,0.081,H,0.42,0.58,0.11,J H I,0.63,0.58,0.063,H,0.53,0.58,0.19,J H,ND,0.58,0.084,H,ND,0.58,0.089,H,ND,0.58,0.12,H,0.49,0.58,0.1,J H,0.43,0.58,0.15,J H F1,Not Reported,,,,0.79,0.58,0.25,H,ND,1.4,0.58,H F1,ND,0.58,0.22,H,,,,,0.75,0.58,0.1,H F1,,,,,ND,0.58,0.058,H,Not Reported,,,,Not Reported,,,,ND,0.58,0.058,H,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Resource Management Inc RMF,6/30/2021,CPM Duplicate,320-76240-2,"Eurofins TestAmerica, Sacramento",34%,,ND,0.57,0.071,H,ND,0.57,0.08,H,0.37,0.57,0.11,J H,ND,0.57,0.063,H,0.51,0.57,0.19,J H,ND,0.57,0.083,H,ND,0.57,0.089,H,ND,0.57,0.12,H,0.42,0.57,0.1,J H,0.4,0.57,0.15,J H,Not Reported,,,,0.78,0.57,0.25,H,ND,1.4,0.57,H,ND,0.57,0.22,H,,,,,0.79,0.57,0.1,H,,,,,ND,0.57,0.057,H,Not Reported,,,,Not Reported,,,,ND,0.57,0.057,H,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Rockport WTP,9/14/2020,PRIMARY SAMPLE,,Alpha Analytical,24%,,<MRL,2.00,,,<MRL,2.00,,,<MRL,2.00,,,<MRL,2.00,,,<MRL,2.00,,,<MRL,2.00,,,<MRL,2,,,<MRL,2,,,<MRL,2,,,<MRL,2,,,Not tested,,,,<MRL,2,,,<MRL,2,,,<MRL,2,,,Not Tested,,,,<MRL,2,,,Not Tested,,,,<MRL,2,,,Not Tested,,,,Not Tested,,,,<MRL,2,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,,,,,,,,,,,,,,,,,
Rockport WTP,9/14/2020,Duplicate,,Alpha Analytical,35%,,<MRL,1.37,,,<MRL,1.37,,,<MRL,1.37,,,<MRL,1.37,,,<MRL,1.37,,,<MRL,1.37,,,<MRL,1.37,,,<MRL,1.37,,,<MRL,1.37,,,<MRL,1.37,,,Not tested,,,,<MRL,1.37,,,2.64,1.37,,F,<MRL,1.37,,,Not Tested,,,,<MRL,1.37,,,Not Tested,,,,<MRL,1.37,,,Not Tested,,,,Not Tested,,,,<MRL,1.37,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,,,,,,,,,,,,,,,,,
Rockport WTP,5/13/2021,Primary,L2125505-01,Alpha Analytical,50%,ng/g,ND,0.24,,,ND,0.49,,,ND,0.49,,,ND,0.24,,,ND,0.49,,,ND,0.24,,,0.27,0.242,,,ND,0.485,,,0.29,0.242,,,ND,0.485,,,Not Reported,,,,0.80,0.242,,,1.54,0.242,,,ND,0.485,,,,,,,ND,0.485,,,Not Reported,,,,ND,0.97,,,Not Reported,,,,Not Reported,,,,ND,0.97,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Rockport WTP,5/13/2021,Duplicate,L2125505-02,Alpha Analytical,54%,ng/g,ND,0.23,,,ND,0.45,,,ND,0.45,,,ND,0.23,,,ND,0.45,,,ND,0.23,,,0.31,0.226,,,ND,0.451,,,0.30,0.226,,,ND,0.451,,,Not Reported,,,,0.79,0.226,,,1.8,0.226,,,ND,0.451,,,,,,,ND,0.451,,,Not Reported,,,,ND,0.902,,,Not Reported,,,,Not Reported,,,,ND,0.902,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Rouselott,10/19/2020,,,Alpha Analytical,8%,,<MRL,6.27,,,<MRL,6.27,,,<MRL,6.27,,,<MRL,1.57,,,<MRL,6.27,,,<MRL,1.57,,,<MRL,1.57,,,<MRL,,,,<MRL,1.57,,,<MRL,6.27,,,Not Reported,,,,<MRL,1.57,,,2.89,,,,<MRL,6.27,,,Not Reported,,,,<MRL,6.27,,,Not Reported,,,,<MRL,6.27,,,Not Reported,,,,Not Reported,,,,<MRL,6.27,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Salem & Beverly Water Supply,10/6/2020,,,Eurofins,13%,,<MRL,7.60,,,<MRL,7.60,,,<MRL,2.30,,,<MRL,2.30,,,<MRL,2.30,,,<MRL,2.30,,,<MRL,2.3,,,<MRL,2.3,,,<MRL,2.3,,,<MRL,2.3,,,Not Reported,,,,4.2,,,,6.8,,,,<MRL,2.3,,,Not Reported,,,,<MRL,2.3,,,Not Reported,,,,<MRL,2.3,,,Not Reported,,,,Not Reported,,,,<MRL,2.3,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Salem Beverly NW Sample,10/6/2020,,,Eurofins,,,ND,15,,,ND,4.4,,,ND,4.4,,,ND,4.4,,,ND,4.4,,,ND,4.4,,,ND,4.4,,,ND,4.4,,,ND,4.4,,,ND,4.4,,,Not Tested,,,,8.5,,,,13,,,,ND,4.4,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,ND,4.4,,,Not Tested,,,,Not Tested,,,,<4.4,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Salem Beverly NW Sample,2/12/2021,,,Eurofins,47%,,<MRL,21.00,4.20,,<MRL,21.00,8.50,,<MRL,6.40,2.10,,<MRL,6.40,2.10,,<MRL,6.40,2.10,,<MRL,6.40,2.10,,<MRL,6.4,2.1,,<MRL,6.4,2.1,,<MRL,6.4,2.1,,<MRL,6.4,2.1,,Not Reported,,,,<MRL,6.4,2.1,,6.5,6.4,2.1,,<MRL,6.4,2.1,,Not Reported,,,,<MRL,6.4,2.1,,Not Reported,,,,<MRL,6.4,2.1,,Not Reported,,,,Not Reported,,,,<MRL,6.4,2.1,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Salem Beverly NW Sample,5/19/2021,,,Eurofins,,,<1.1,,,,<1.1,,,,<0.34,,,,<0.34,,,,<0.34,,,,<0.34,,,,<0.34,,,,,,,,<0.34,,,,<0.34,,,,Not Tested,,,,1.1,,,,2,,,,<0.34,,,,,,,,Not Tested,,,,Not Tested,,,,<0.34,,,,Not Tested,,,,Not Tested,,,,<0.34,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Salem Beverly SE Sample,10/6/2020,,,Eurofins,,,ND,7.5,,,ND,2.3,,,ND,2.3,,,ND,2.3,,,ND,2.3,,,ND,2.3,,,ND,2.3,,,ND,2.3,,,ND,2.3,,,ND,2.3,,,Not Tested,,,,4.2,,,,6.8,,,,ND,2.3,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,ND,2.3,,,Not Tested,,,,Not Tested,,,,<2.3,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Salem Beverly SE Sample,2/12/2021,,,Eurofins,44%,,<MRL,23.00,4.60,,<MRL,23.00,9.20,,<MRL,6.90,2.30,,<MRL,6.90,2.30,,<MRL,6.90,2.30,,<MRL,6.90,2.30,,<MRL,6.9,2.3,,<MRL,6.9,2.3,,<MRL,6.9,2.3,,<MRL,6.9,2.3,,Not Reported,,,,<MRL,6.9,2.3,,7.3,6.9,2.3,,<MRL,6.9,2.3,,Not Reported,,,,<MRL,6.9,2.3,,Not Reported,,,,<MRL,6.9,2.3,,Not Reported,,,,Not Reported,,,,<MRL,6.9,2.3,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Salem Beverly SE Sample,5/19/2021,,,Eurofins,,,<1.1,,,,<1.1,,,,<0.34,,,,<0.34,,,,<0.34,,,,<0.34,,,,<0.34,,,,,,,,<0.34,,,,<0.34,,,,Not Tested,,,,0.77,,,,1.3,,,,<0.34,,,,,,,,Not Tested,,,,Not Tested,,,,<0.34,,,,Not Tested,,,,Not Tested,,,,<0.34,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Somerset Water & Sewer Dept,10/27/2020,Primary,,TestAmerica,86%,,8.8,2.3,0.28,,5.5,2.3,0.32,B F1,<MRL,2.3,0.44,J,8.4,2.3,0.25,F1,3.9,2.3,0.76,,2.8,2.3,0.33,,<MRL,2.3,0.35,,27,2.3,0.48,,<MRL,2.3,0.41,J,<MRL,2.3,0.58,,Not Reported,,,,16,2.3,0.98,,13,5.7,2.3,,5.4,2.3,0.88,F1,Not Reported,,,,<MRL,2.3,0.41,J F1,Not Reported,,,,<MRL,2.3,0.23,,Not Reported,,,,Not Reported,,,,<MRL,2.3,0.23,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Somerset Water & Sewer Dept,10/27/2020,Duplicate,,TestAmerica,92%,,7.1,2.2,0.27,,3.9,2.2,0.3,B,<MRL,2.2,0.42,J,7.1,2.2,0.24,,2.9,2.2,0.72,,2.4,2.2,0.31,,<MRL,2.2,0.33,,18,2.2,0.45,,<MRL,2.2,0.39,J,<MRL,2.2,0.55,,Not Reported,,,,13,2.2,0.93,,11,5.4,2.2,I,4.1,2.2,0.83,,Not Reported,,,,<MRL,2.2,0.39,J,Not Reported,,,,<MRL,2.2,0.22,,Not Reported,,,,Not Reported,,,,<MRL,2.2,0.22,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Somerset Water & Sewer Dept,1/19/2021,Primary,,Eurofins,56.90%,,32,3.3,0.42,,15,3.3,0.47,B,<MRL,3.3,0.65,J,20,3.3,0.37,,6.4,3.3,1.1,,7,3.3,0.48,,<MRL,3.3,0.52,J I,69,3.3,0.7,,3.8,3.3,0.6,,Not Reported,,,,Not Reported,,,,37,3.3,1.4,,19,8.4,3.3,,17,3.3,1.3,,Not Reported,,,,<MRL,3.3,0.6,J,Not Tested,,,,ND,3.3,0.33,,Not Reported,,,,Not Reported,,,,ND,3.3,0.33,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Somerset Water & Sewer Dept,1/19/2021,Duplicate,,Eurofins,54.10%,,37,3.4,0.42,,16,3.4,0.47,B,<MRL,3.3,0.66,J,20,3.4,0.37,,8.9,3.4,1.1,,6.6,3.4,0.49,,<MRL,3.4,0.52,J,70,3.4,0.71,,3.9,3.4,0.61,,Not Reported,,,,Not Reported,,,,29,3.4,1.5,,22,8.4,3.4,,19,3.4,1.3,,Not Reported,,,,<MRL,3.4,0.61,J,Not Reported,,,,ND,3.4,0.34,,Not Reported,,,,Not Reported,,,,ND,3.4,0.34,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Somerset Water & Sewer Dept,4/26/2021,Primary ,,Eurofins,41.00%,,39,4.6,0.57,,6.5,4.6,0.64,F1,ND,4.6,0.89,,19,4.6,0.5,F1,3.4,4.6,1.5,J F1,9.1,4.6,0.66,F1,1.2,4.6,0.71,J,53,4.6,0.96,,4.5,4.6,0.82,J F1,Not Reported,,,,Not Reported,,,,61,4.6,2,,21,11,4.6,,8.2,4.6,1.8,,,,,,1.9,4.6,0.82,J F2,Not Reported,,,,ND,4.6,0.46,F1,Not Reported,,,,Not Reported,,,,ND,4.6,0.46,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Somerset Water & Sewer Dept,4/26/2021,Duplicate,,Eurofins,53.90%,,37,3.7,0.46,,9.6,3.7,0.51,,1.8,3.7,0.72,J,16,3.7,0.4,,3.8,3.7,1.2,,7.8,3.7,0.53,,0.81,3.7,0.57,J,57,3.7,0.77,,4,3.7,0.66,,Not Reported,,,,Not Reported,,,,50,3.7,1.6,,17,9.2,3.7,,12,3.7,1.4,,,,,,2,3.7,0.66,J,Not Reported,,,,ND,3.7,0.37,,Not Reported,,,,Not Reported,,,,ND,3.7,0.37,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Soundview Vermont Holdings,12/9/2020,,,Eurofins,35.80%,,ND,0.54,0.067,,1.4,0.54,0.075,B,ND,0.54,0.1,,2.3,0.54,0.059,,2,0.54,0.18,,0.78,0.54,0.078,,ND,0.54,0.083,,0.6,0.54,0.11,,2.2,0.54,0.096,,Not Reported,,,,Not Reported,,,,1.6,0.54,0.23,,ND,1.3,0.54,,<MRL,0.54,0.21,J,Not Reported,,,,2.3,0.54,0.096,,Not Reported,,,,ND,0.54,0.054,,Not Reported,,,,Not Reported,,,,ND,0.54,0.054,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Soundview Vermont Holdings,12/9/2020,,,Eurofins,37.40%,,ND,0.49,0.061,,1.3,0.49,0.069,B,ND,0.49,0.096,,1.7,0.49,0.054,,1.8,0.49,0.16,F1,0.67,0.49,0.071,,ND,0.49,0.076,,0.57,0.49,0.1,,1.9,0.49,0.088,,Not Reported,,,,Not Reported,,,,1.6,0.49,0.21,,ND,1.2,0.49,F1,<MRL,0.49,0.19,J,Not Reported,,,,2.1,0.49,0.088,F1,Not Reported,,,,ND,0.49,0.061,F1,Not Reported,,,,Not Reported,,,,ND,0.49,0.049,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Soundview Vermont Holdings,3/1/2021,Primary,320-70976-1,"Eurofins TestAmerica, Sacramento",39.80%, ,ND,4.8,0.6, ,0.77,4.8,0.67,J,ND,4.8,0.94, ,1.8,4.8,0.53,J,2.3,4.8,1.6,J,ND,4.8,0.7, ,ND,4.8,0.75, ,ND,4.8,1, ,1.5,4.8,0.87,J,1.7,4.8,1.2,J,Not Reported, , , ,ND,4.8,2.1, ,16,12,4.8,I B,ND,4.8,1.9, , , , , ,2.8,4.8,0.87,J,Not Reported, , , ,Not Reported, , , ,ND,4.8,0.48, ,Not Reported, , , ,Not Reported, , , ,ND,4.8,0.48, ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Soundview Vermont Holdings,3/1/2021,SVH Duplicate,320-70976-2,"Eurofins TestAmerica, Sacramento",39.60%, ,ND,4.9,0.62, ,0.75,4.9,0.69,J,ND,4.9,0.96, ,1.5,4.9,0.54,J,1.7,4.9,1.7,J F1,ND,4.9,0.72, ,ND,4.9,0.76, ,ND,4.9,1, ,1.7,4.9,0.89,J,1.4,4.9,1.3,J F1,Not Reported, , , ,ND,4.9,2.1,F1,19,12,4.9,I B,ND,4.9,1.9, , , , , ,2.1,4.9,0.89,J F1,Not Reported, , , ,Not Reported, , , ,ND,4.9,0.49, ,Not Reported, , , ,Not Reported, , , ,ND,4.9,0.49,F1,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
