,report,RTN,address,sample_id
1489,FA66541 - 189 White Pond - 07-30-2019 Final.pdf,2-0020439,,189-WP
1490,FA67063 - 359 Chestnut - 08-14-2019 Final.pdf,2-0020923,,359-CHEST-RAW
1491,FA66315 - 3 Stony 07-24-19 Final.pdf,2-0020923,,3-STONY-RAW
1494,FA66603 - 296 Chestnut - 07-31-2019 Final.pdf,2-0020923,,296-CHEST-TREATED
1495,FA66308 - 305 Chestnut - 07-24-2019 Final.pdf,2-0020923,,305-CHEST-RAW
1497,FA66599 - 264 Chestnut - 07-31-2019 Final.pdf,2-0020923,,264-CHEST-TREATED
1500,FA66598 - 3 Beechnut - 07-31-2019 Final.pdf,2-0020923,,3-BEECH-MID
1501,FA67608 - 359 Chestnut - 08-28-2019 Final.pdf,2-0020923,,FB-359-CHEST
1505,FA66309 - 307 Chestnut - 07-24-2019 Final.pdf,2-0020923,,307-CHEST-RAW
1506,FA67608 - 359 Chestnut - 08-28-2019 Final.pdf,2-0020923,,359-CHEST-RAW
1507,FA66603 - 296 Chestnut - 07-31-2019 Final.pdf,2-0020923,,296-CHEST-MID
1508,FA66122 - 305 Chestnut 07-17-2019 Final.pdf,2-0020923,,305-CHEST-RAW
1509,FA66603 - 296 Chestnut - 07-31-2019 Final.pdf,2-0020923,,296-CHEST-RAW
1510,FA66771 - 241 White Pond - 08-06-2019 Final.pdf,2-0020439,,241-WHITE
1515,FA66535 - 75 White Pond - 07-30-2019 Final.pdf,2-0020439,,FB-75-WP
1518,FA66770 - 305 Chestnut - 08-07-2019 Final.pdf,2-0020923,,305-CHEST-RAW
1522,FA67607 - 307 Chestnut - 08-28-2019 FInal.pdf,2-0020923,,307-CHEST-MID
1523,FA66770 - 305 Chestnut - 08-07-2019 Final.pdf,2-0020923,,305-CHEST-TREATED
1525,FA66598 - 3 Beechnut - 07-31-2019 Final.pdf,2-0020923,,3-BEECH-TREATED
1526,FA67607 - 307 Chestnut - 08-28-2019 FInal.pdf,2-0020923,,307-CHEST-RAW
1527,FA66770 - 305 Chestnut - 08-07-2019 Final.pdf,2-0020923,,305-CHEST-MID
1529,FA67841 - 296 Chestnut - 10-31-2019 Final.pdf,2-0020923,,296-CHEST-RAW
1531,FA66709 - 5 Cranberry - 08-02-2019 Final.pdf,2-0020439,,FB-5-CL
1535,FA67607 - 307 Chestnut - 08-28-2019 FInal.pdf,2-0020923,,307-CHEST-TREATED
1537,fa66540 -  107 White Pond - 07-30-2019 Final.pdf,2-0020439,,FB-107-WP
1539,FA66109 - 3 Stony 07-17-2019 Final.pdf,2-0020923,,3-STONY-RAW
1540,FA66314 - 308 Chestnut - 07-24-2019 Final.pdf,2-0020923,,308-CHEST-TREATED
1544,FA66109 - 3 Stony 07-17-2019 Final.pdf,2-0020923,,3-STONY-TREATED
1546,FA66113 - 307 Chestnut - 07-17-2019 Final.pdf,2-0020923,,307-CHEST-MID
1547,FA66545 - 169 White Pond - 07-30-2019 Final.pdf,2-0020439,,FB-169-WP
1548,FA67608 - 359 Chestnut - 08-28-2019 Final.pdf,2-0020923,,359-CHEST-MID
1549,FA66599 - 264 Chestnut - 07-31-2019 Final.pdf,2-0020923,,264-CHEST-RAW
1552,FA66314 - 308 Chestnut - 07-24-2019 Final.pdf,2-0020923,,308-CHEST-RAW
1555,FA67608 - 359 Chestnut - 08-28-2019 Final.pdf,2-0020923,,359-CHEST-TREATED
1557,FA66600 - 305 Chestnut - 07-31-2019 Final.pdf,2-0020923,,305-CHEST-MID
1558,FA68622 - 290 Chestnut 10-02-2019 Revised.pdf,2-0020923,,290-CHEST-RAW
1560,FA68622 - 290 Chestnut 10-02-2019 Reissued Final.pdf,2-0020923,,290-CHEST-RAW
1562,FA66313 - 290 Chestnut - 07-24-2019 Final.pdf,2-0020923,,290-CHEST-MID
1564,FA66545 - 169 White Pond - 07-30-2019 Final.pdf,2-0020439,,169-WP
1566,FA66600 - 305 Chestnut - 07-31-2019 Final.pdf,2-0020923,,305-CHEST-TREATED
1568,FA67840 - 290 Chestnut 09-04-2019 Final.pdf,2-0020923,,290-CHEST-TREATED
1569,FA66315 - 3 Stony 07-24-19 Final.pdf,2-0020923,,3-STONY-TREATED
1570,FA67840 - 290 Chestnut 09-04-2019 Final.pdf,2-0020923,,290-CHEST-MID
1572,FA67620 - 300 Chestnut - 08-28-2019 Final.pdf,2-0020923,,300-CHEST-RAW
1573,FA67840 - 290 Chestnut 09-04-2019 Final.pdf,2-0020923,,290-CHEST-RAW
1575,FA67838 - 9 Beechnut - 09-04-2019 Final.pdf,2-0020923,,9-BEECH-RAW
1578,FA67838 - 9 Beechnut - 09-04-2019 Final.pdf,2-0020923,,FB-9-BEECH
1584,FA66114 - 300 Chestnut - 07-17-2019 Final.pdf,2-0020923,,300-CHEST-TREATED
1585,FA67620 - 300 Chestnut - 08-28-2019 Final.pdf,2-0020923,,300-CHEST-TREATED
1586,FA66110 - 343 Chestnut 07-17-2019 Final.pdf,2-0020923,,343-CHEST
1588,FA67620 - 300 Chestnut - 08-28-2019 Final.pdf,2-0020923,,300-CHEST-MID
1591,FA66121 - 296 Chestnut - 07-17-2019 Final.pdf,2-0020923,,296-CHEST-RAW
1592,FA66772 - 227 White Pond - 08-06-2019 Final.pdf,2-0020439,,227-WHITE
1599,FA67837 - 3 Stony 09-04-2019 Final.pdf,2-0020923,,3-STONY BROOK-TREATED
1603,FA67833 - 5 Beechnut - 09-4-2019 Final.pdf,2-0020923,,5-BEECH-RAW
1604,FA67833 - 5 Beechnut - 09-4-2019 Final.pdf,2-0020923,,FB-5-BEECH
1605,FA66598 - 3 Beechnut - 07-31-2019 Final.pdf,2-0020923,,FB-3-BEECH
1607,FA67833 - 5 Beechnut - 09-4-2019 Final.pdf,2-0020923,,5-BEECH-TREATED
1609,FA67838 - 9 Beechnut - 09-04-2019 Final.pdf,2-0020923,,9-BEECH-TREATED
1611,FA67838 - 9 Beechnut - 09-04-2019 Final.pdf,2-0020923,,9-BEECH-MID
1614,FA67837 - 3 Stony 09-04-2019 Final.pdf,2-0020923,,3-STONY BROOK-MID
1615,FA67837 - 3 Stony 09-04-2019 Final.pdf,2-0020923,,3-STONY BROOK-RAW
1616,FA67832 - 305 Chestnut - 09-04-2019 Final.pdf,2-0020923,,305-CHEST-MID
1621,FA67619 - 7 Beechnut - 08-28-2019 Final.pdf,2-0020923,,7-BEECH-RAW
1625,FA66598 - 3 Beechnut - 07-31-2019 Final.pdf,2-0020923,,3-BEECH-RAW
1626,FA67618 - 9 Beechnut - 08-28-2019 Final.pdf,2-0020923,,9-BEECH-MID
1627,FA67605 - 164 White Pond - 08-28-2019 Final.pdf,2-0020439,,164-WHITE
1631,FA67621 - 233 White Pond - 08-28-2019 Final.pdf,2-0020439,,223-WHITE
1634,FA67317- 308 Chestnut - 08-21-2019 Final.pdf,2-0020923,,308-CHEST-RAW
1635,FA66629 - 290 Chestnut 07-31-2019 Final.pdf,2-0020923,,290-CHEST-RAW
1636,FA66114 - 300 Chestnut - 07-17-2019 Final.pdf,2-0020923,,300-CHEST-MID
1637,FA67833 - 5 Beechnut - 09-4-2019 Final.pdf,2-0020923,,5-BEECH-MID
1640,FA66107 - 290 Chestnut 07-17-2019 Final.pdf,2-0020923,,290-CHEST-MID
1642,FA67618 - 9 Beechnut - 08-28-2019 Final.pdf,2-0020923,,9-BEECH-TREATED
1643,FA66114 - 300 Chestnut - 07-17-2019 Final.pdf,2-0020923,,FB-300-CHEST
1645,FA66825 - 296 Chestnut - 08-07-2019 Final.pdf,2-0020923,,296-CHEST-RAW
1650,FA67619 - 7 Beechnut - 08-28-2019 Final.pdf,2-0020923,,7-BEECH-TREATED
1651,FA66542 - 159 White Pond 07-30-2019 Final.pdf,2-0020439,,FB-159-WP
1652,FA67317- 308 Chestnut - 08-21-2019 Final.pdf,2-0020923,,308-CHEST-TREATED
1654,FA66310 - 277 Chestnut - 07-24-2019 Final.pdf,2-0020923,,277-CHEST
1655,FA67618 - 9 Beechnut - 08-28-2019 Final.pdf,2-0020923,,FB-9-BEECH
1656,FA67606 - 174 White Pond - 08-28-2019 Final.pdf,2-0020439,,FB-174-WHITE
1658,FA66118 - 308 Chestnut 07-17-2019 Final.pdf,2-0020923,,308-CHEST-RAW
1659,FA67619 - 7 Beechnut - 08-28-2019 Final.pdf,2-0020923,,7-BEECH-MID
1662,FA66534  - 69 White Pond - 07-30-2019 Final.pdf,2-0020439,,69-WP
1663,FA67316 - 264 Chestnut - 08-21-2019 Final.pdf,2-0020923,,264-CHEST-RAW
1664,FA66310 - 277 Chestnut - 07-24-2019 Final.pdf,2-0020923,,FB-277-CHEST
1666,FA67606 - 174 White Pond - 08-28-2019 Final.pdf,2-0020439,,174-WHITE
1667,FA67317- 308 Chestnut - 08-21-2019 Final.pdf,2-0020923,,308-CHEST-MID
1671,FA66107 - 290 Chestnut 07-17-2019 Final.pdf,2-0020923,,290-CHEST-TREATED
1673,FA67618 - 9 Beechnut - 08-28-2019 Final.pdf,2-0020923,,9-BEECH-RAW
1674,FA66114 - 300 Chestnut - 07-17-2019 Final.pdf,2-0020923,,300-CHEST-RAW
1675,FA66117 - 5 Beechnut - 07-17-2019 Final.pdf,2-0020923,,5-BEACH
1676,FA66113 - 307 Chestnut - 07-17-2019 Final.pdf,2-0020923,,307-CHEST-RAW
1677,FA66109 - 3 Stony 07-17-2019 Final.pdf,2-0020923,,3-STONY-MID
1678,FA66107 - 290 Chestnut 07-17-2019 Final.pdf,2-0020923,,290-CHEST-RAW
1679,FA66113 - 307 Chestnut - 07-17-2019 Final.pdf,2-0020923,,307-CHEST-TREATED
1680,FA66311 - 300 Chestnut - 07-24-2019 Final.pdf,2-0020923,,300-CHEST-RAW
1681,FA67834 - 10 Beechnut -09-04-2019 Final.pdf,2-0020923,,10-BEECH
1683,FA67832 - 305 Chestnut - 09-04-2019 Final.pdf,2-0020923,,305-CHEST-RAW
1684,gleasondale surface water data_11182021.pdf,2-0021045,,CANAL-UP
1685,gleasondale surface water data_11182021.pdf,2-0021045,,CANAL-DOWN
1686,gleasondale surface water data_11182021.pdf,2-0021045,,RIVER-MID
1687,gleasondale surface water data_11182021.pdf,2-0021045,,RIVER-DOWN
1688,gleasondale surface water data_11182021.pdf,2-0021045,,RIVER-UP
273,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,58-PARMENTER-10152018
291,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,6-CRANBERRY-10152018
297,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,3-ANNIE-10152018
314,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,129-PARMENTER-10152018
316,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,5-ANNIE-10152018
322,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,76-PARMENTER-10152018
324,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,4-ANNIE-10152018
349,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,144-PARMENTER-PRE-10152018
353,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,128-PARMENTER-10152018
357,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,115-PARMENTER-10152018
394,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,144-PARMENTER-POST-10152018
420,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,8-CRANBERRY-10152018
422,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,75-PARMENTER-10152018
441,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,50-PARMENTER-10152018
457,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,other
458,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,2-ANNIE-10152018
497,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,81-PARMENTER-10152018
735,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,78-PARMENTER-10152018
1313,2-0020439 - Hudson - Document_ID_474340 DW B.pdf,2-0020439,,104-PARMENTER-10262018
1493,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,27-PARMENTER-10152018
1675,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,2-0020439,,19-PARMENTER-10152018
