,report,RTN,address,sample_id
197,lab report FA68229 surface water sw1.pdf,2-0021045,,FB-SW
329,2-0021075 Stow 38 Russet rcvd 11-22-19.pdf,2-0021075,,38 RUSSET LANE
612,FA71439 - 343 Chestnut - 01-08-2020 Final.pdf,2-0020923,,343-CHEST-MID
613,2-0021075 Stow 2 Crescent rcvd 12-06-19.pdf,2-0021075,,2 CRESCENT FB
614,FA70182 - 9 Beechnut - 11-20-2019 Final.pdf,2-0020923,,9-BEECH-RAW
615,FA70186 - 7 Beechnut - 11-20-2019 Final.pdf,2-0020923,,7-BEECH-TREATED
616,FA71422 - 300 Chestnut - 01-08-2020 Final.pdf,2-0020923,,300-CHEST-RAW
617,FA71422 - 300 Chestnut - 01-08-2020 Final.pdf,2-0020923,,300-CHEST-TREATED
618,FA71425 - 359 Chestnut - 01-08-2020 Final.pdf,2-0020923,,359-CHEST-TREATED
619,FA71422 - 300 Chestnut - 01-08-2020 Final.pdf,2-0020923,,300-CHEST-MID
620,FA71426 - 5 Beechnut - 01-08-2020 Final.pdf,2-0020923,,5-BEECH-RAW
621,FA71424 - 296 Chestnut - 01-08-2020 Final.pdf,2-0020923,,296-CHEST-TREATED
622,FA71424 - 296 Chestnut - 01-08-2020 Final.pdf,2-0020923,,296-CHEST-MID
623,FA70205 - 359 Chestnut - 11-20-2019 Final.pdf,2-0020923,,359-CHEST-MID
624,FA71424 - 296 Chestnut - 01-08-2020 Final.pdf,2-0020923,,296-CHEST-RAW
625,FA71425 - 359 Chestnut - 01-08-2020 Final.pdf,2-0020923,,359-CHEST-MID
626,FA71425 - 359 Chestnut - 01-08-2020 Final.pdf,2-0020923,,359-CHEST-RAW
627,2-0021075 Stow 453 Great Rd rcvd 12-05-19.pdf,2-0021075,,453 GREAT RD
628,FA71439 - 343 Chestnut - 01-08-2020 Final.pdf,2-0020923,,343-CHEST-RAW
629,FA70205 - 359 Chestnut - 11-20-2019 Final.pdf,2-0020923,,359-CHEST-TREATED
630,FA70186 - 7 Beechnut - 11-20-2019 Final.pdf,2-0020923,,7-BEECH-MID
631,FA71439 - 343 Chestnut - 01-08-2020 Final.pdf,2-0020923,,343-CHEST-TREATED
632,FA70205 - 359 Chestnut - 11-20-2019 Final.pdf,2-0020923,,359-CHEST-RAW
633,2-0021075 Stow 66 Packard rcvd 11-27-19 (5).pdf,2-0021075,,66 PACKARD RD
634,FA70183 - 307 Chestnut - 11-20-2019 Final.pdf,2-0020923,,307-CHEST-MID
635,2-0021075 Stow 18 Center rcvd 12-05-19.pdf,2-0021075,,18 CENTER ST FB
636,FA72306 - 308 Chestnut - 02-05-2020 Final.pdf,2-0020923,,308-CHEST-MID
637,2-0021075 Stow 18 Center rcvd 12-05-19.pdf,2-0021075,,18 CENTER ST
638,FA72305 - 290 Chestnut 02-05-2020 Final.pdf,2-0020923,,290-CHEST-TREATED
639,2-0021075 Stow 66 Packard rcvd 11-27-19 (5).pdf,2-0021075,,66 PACKARD RD FB
640,FA72306 - 308 Chestnut - 02-05-2020 Final.pdf,2-0020923,,308-CHEST-TREATED
